NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
3CNERGY LIMITED                                             SG0502000029        502       3Cnergy
VALUESUCCESCNY750M4.95%N190129                              HK0000182946        2X2B      ValueSuccn4.95%190129S
VALUESUCCESS$370M4.125%N190906                              XS1040814102        3A7B      ValueSuccn4.125%190906S
VALUETRONICS HOLDINGS LIMITED                               BMG9316Y1084        BN2       Valuetronics
VCPLUS LIMITED                                              SG1CG7000002        43E       VCPlus
VEDANTA R US$600M9.25%B260423A                              US92243XAA90        8X5B      Vedanta b9.25%260423A
VEDANTA R US$600M9.25%B260423R                              USG9T27HAA24        PBUB      Vedanta b9.25%260423R
VEDANTA RES US$1.2B8.95%B250311A                            US92243XAE13        URYB      Vedanta b8.95%250311A
VEDANTA RES US$1.2B8.95%B250311R                            USG9T27HAD62        45DB      Vedanta b8.95%250311R
VEDANTA RES US$400M8%B230423A                               US92243XAB73        MUXB      Vedanta b8%230423A
VEDANTA RES US$400M8%B230423R                               USG9T27HAB07        YNYB      Vedanta b8%230423R
VEDANTA US$1.2B6%B190131A                                   US92241TAH59        2WDB      Vedantab6%190131A
VEDANTA US$1.2B6%B190131R                                   USG9328DAH38        2WEB      Vedantab6%190131R
VEDANTA US$1B6.125%B240809A                                 US92241TAM45        7F7B      Vedantab6.125%240809A
VEDANTA US$1B6.125%B240809R                                 USG9328DAP53        7F8B      Vedantab6.125%240809R
VEDANTA US$1B6.375%B220730A                                 US92241TAK88        68EB      Vedantab6.375%220730A
VEDANTA US$1B6.375%B220730R                                 USG9328DAM23        68FB      Vedantab6.375%220730R
VEDANTA US$500M7.125%B230521A                               US92241TAJ16        2WFB      Vedantab7.125%230521A
VEDANTA US$500M7.125%B230521R                               USG9328DAJ93        2WGB      Vedantab7.125%230521R
VEDANTA US$900M8.25%B210607A                                US92241TAG76        4WIB      Vedantab8.25%210607A
VEDANTA US$900M8.25%B210607R                                USG9328DAG54        4WJB      Vedantab8.25%210607R
VEDANTARESUS$1B13.875%B240121A                              US92243XAD30        ZB5B      Vedanta b13.875%240121A
VEDANTARESUS$1B13.875%B240121R                              USV9667MAA00        9Q7B      Vedanta b13.875%240121R
VENA ENE US$325M3.133%N250226                               XS2122900330        MQLB      VenaEne n3.133%250226S
VENTURE 5XLONGSOCGEN 230713                                 LU2267110315        DBHW      Venture 5xLongSG230713
VENTURE 5XSHORTSOCGEN 230920                                LU1986501960        DVCW      Venture 5xShortSG230920
VENTURE CORPORATION LIMITED                                 SG0531000230        V03       Venture
VERSALINK HOLDINGS LIMITED                                  SG1AC9000003        40N       Versalink
VERTEX S$450M3.3%N280728                                    SGXF19644487        9NOB      Vertex n3.3%280728S
VERTEX TECH SPAC                                            KYG9481M1298        VT1       Vertex SPAC
VERTEX TECH SPAC W291231                                    KYG9481M1116        VT2W      Vertex SPAC W291231
VIBRANT GROUP LIMITED                                       SG1BJ7000008        BIP       Vibrant Group
VIBROPOWER CORPORATION LIMITED                              SG1CA3000009        BJD       VibroPower
VIBROPOWER W250116                                          SGXN97276293        PBSW      VibroPower W250116
VICOM LTD.                                                  SGXE86215543        WJP       VICOM Ltd
VICPLAS INTERNATIONAL LTD                                   SG1G57870584        569       Vicplas Intl
VICTORIAPN A$300M F240823                                   AU3FN0062642        9ZJB      VictoriaPN f240823S
VICTORIAPN A$50M F310702                                    AU3FN0061172        GCJB      VictoriaPN f310702S
VICTORIAPN EUR24M1.55%N300424                               XS1808720194        8TSB      VictoriaPN n1.55%300424S
VICTORIAPN HK$744M1.18%N250928                              XS2237907477        9F8B      VictoriaPN n1.18%250928S
VICTORIAPN NOK550M2.84%N280426                              XS1808397803        8TRB      VictoriaPN n2.84%280426S
VICTORIAPNAUD200M2.065%N301118                              XS2258961866        XAMB      VictoriaPNn2.065%301118S
VICTORIAPNAUD40M3.1%N320210                                 AU3CB0286359        WCGB      VictoriaPNn3.1%320210S
VICTORIAPNAUD50M2.1953%N310818                              AU3CB0282333        FLKB      VictoriaPn2.1953%310818S
VIDEOCON US$75.2M 2.8%CB201231                              XS1334578017        38UB      Videoconc2.8%201231S
VIET PJSCB US$300M6.25%N220717                              XS2027359756        YOCB      VietPJS n6.25%220717S
VIETNAM US$1B6.75% N200129A                                 US92670LAF67        4CIB      Vietnam6.75%200129A
VIETNAM US$1B6.75% N200129R                                 USY9374MAF06        4CJB      Vietnam6.75%200129R
VIETNAMUS$1B4.8%N241119A                                    US92671CAA62        20SB      Vietnam n4.8%241119A
VIETNAMUS$1B4.8%N241119R                                    USY9384RAA87        20TB      Vietnam n4.8%241119R
VIGOROUS US$250M2.95%N310225                                XS2301842758        RJOB      Vigorous n2.95%310225S
VIGOROUS US$300M3.625%N240528                               XS1994698196        YLGB      Vigorous n3.625%240528S
VIGOROUS US$300M4.25%N290528                                XS1994698436        NMIB      Vigorous n4.25%290528S
VIGOROUS US$500M4.375%N230910                               XS1873964842        VGZB      Vigorous n4.375%230910S
VIGOROUS US$600M2.75%N250602                                XS2180856440        DNUB      Vigorous n2.75%250602S
VIKING OFFSHORE & MA W270628                                SGXN69651119        KJZW      VikingW270628
VIKING OFFSHORE & MARINE LTD                                SGXE45420721        1Y1       VikingOffshore
VINGROUPUS$200M11.625%N180507A                              US92743JAB35        2L6B      Vingroup n11.625%180507A
VINGROUPUS$200M11.625%N180507R                              USY9383WAB64        2L5B      Vingroup n11.625%180507R
VINGROUPUS$500M3%EB260420                                   XS2332809412        VTIB      Vingroup eb3%260420S
VINPEARL US$425M3.25%EB260921                               XS2387598209        KYHB      Vinpearl eb3.25%260921S
VIVIDTHREE HOLDINGS LTD.                                    SGXE74791307        OMK       Vividthree
VLL INTL US$200M7.25%N270720                                XS2205566206        JKUB      VLLInt n7.25%270720S
VLL INTL US$300M7.375%N220618                               XS1248231299        31MB      VLLInt n7.375%220618S
VLL INTL US$350M5.75%N241128                                XS1721418975        85VB      VLLInt n5.75%241128S
VMHLDG US$700M5.375%N270504A                                US91832CAA45        71PB      VMHldg n5.375%270504A
VMHLDG US$700M5.375%N270504R                                USP98118AA38        71QB      VMHldg n5.375%270504R
VOYAGE US$400M3.375%B220928                                 XS1686463305        80YB      Voyage b3.375%220928S
WASHINGTON A$225M0.625%N260129                              XS2293580812        8YKB      Washingtonn0.625%260129S
WATCHES.COM LTD                                             SGXE64328102        WVJ       Watches.com Ltd
WEALTH DR US$180M5.5%N230817                                XS1471856424        4P5B      WealthDr n5.5%230817S
WEBJET A$250M0.75%CN260412                                  XS2328003483        UUSB      Webjet cn0.75%260412S
WEBJET EUR100M2.5%CN270709                                  XS2198898525        PEDB      Webjet cn2.5%270709S
WEE HUR HOLDINGS LTD.                                       SG1W55939399        E3B       Wee Hur
WEIBO US$750M3.375%N300708                                  US948596AE12        99IB      Weibo n3.375%300708S
WEIBO US$800M3.5%N240705                                    US948596AD39        TPVB      Weibo n3.5%240705S
WEICHAI US$775M3.75%PCS                                     XS1679350014        7W4B      Weichai 3.75%PCS S
WEIFANG EUR35.732M1.5%B240429                               XS2332356950        99NB      Weifang b1.5%240429S
WELLHOPE US$1B3.875%PERCAPSEC                               XS1689434824        82LB      WellHope3.875%PerCapSecS
WENZHOU LDS CNY972M4.1%B241216                              XS2421276093        HROB      WenzhouLDS b4.1%241216S
WENZHOU LDS CNY972M4.1%B250114                              XS2429324986        WBDB      WenzhouLDS b4.1%250114S
WESFARMERSEUR600M0.954%N331021                              XS2399154181        9F1B      Wesfarm n0.954%331021S
WESFARMERSEUR650M2.75%N220802                               XS0810622935        2GKB      Wesfarm2.75%220802S
WHITE ORCHID FUND                                           SG1BE4000002        BBT       White Orchid Fund S
WILLAS-ARRAY ELEC (HLDGS) LTD                               BMG9643L1349        BDR       Willas-Array
WILMAR 5XLONGSOCGEN 240306                                  LU2267120389        DPBW      Wilmar 5xLongSG240306
WILMAR 5XSHORTSOCGEN 221201                                 LU1986494497        DDBW      Wilmar 5xShortSG221201
WILMAR 5XSHORTSOCGEN 230825                                 LU1986500566        DHGW      Wilmar 5xShortSG230825
WILMAR 5XSHORTSOCGEN 240424                                 LU2348852513        DAKW      Wilmar 5xShortSG240424
WILMAR INTERNATIONAL LIMITED                                SG1T56930848        F34       Wilmar Intl
WILMAR MB ECW221014                                         SGXN22528180        GVVW      Wilmar MB eCW221014
WILTON RESOURCES CORP LIMITED                               SG2G45999965        5F7       Wilton Resources
WIN SEMICON US$500M Z260114                                 XS2275382286        WTHB      WIN Semicon z260114S
WING TAI HOLDINGS LIMITED                                   SG1K66001688        W05       Wing Tai
WING TAI PROP S$160M4.35%PCN                                XS1654179925        7J2B      WingTaiProp 4.35%PCN S
WING TAI S$100M 4.7%N240228                                 SG6OI9000000        3A0B      WingTai n4.7%240228S
WING TAI S$100M3.68%N300116                                 SGXF78185646        HSUB      WingTai n3.68%300116S
WING TAI S$100M4.1%N270525                                  SGXF40119343        LFIB      WingTai n4.1%270525S
WING TAI S$150M4.48%PERPSEC                                 SGXF63316578        PAWB      WingTai 4.48%PerSec S
WINGTAI S$100M 4.25%N230315                                 SG6Z68990563        2QZB      WingTai n4.25%230315S
WINGTAI S$100M 4.5%N220926                                  SG6W65985478        2ISB      WingTain4.5%220926S
WINGTAIPROP S$170M4.25%N221129                              XS0859438045        2MJB      WingTPron4.25%221129S
WIPRO IT US$750M1.5%N260623A                                US97654MAA45        WO5B      Wipro IT n1.5%260623A
WIPRO IT US$750M1.5%N260623R                                USU9841MAA00        JCPB      Wipro IT n1.5%260623R
WISDOMMARINE US$60M CB200410                                XS1210324494        27VB      WisdomMarine cb200410S
WLBAIIB US$24.7M3.95%B241210A                               XS2271198371        FRNB      WLBAssetIIBb3.95%241210A
WLBAIIB US$24.7M3.95%B241210R                               XS2271198611        ZZMB      WLBAssetIIBb3.95%241210R
WLBAIIC US$27M3.9%B251223A                                  XS2418614066        W6WB      WLBAssetIICb3.9%251223A
